City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,100,Mercedes,AR,2021-11-29 00:29:17,-34.6515,-59.4307,61.14,95,100,8.16
101,101,Fairbanks,US,2021-11-29 00:28:58,64.8378,-147.7164,-25.64,72,1,0.0
102,102,Zafra,ES,2021-11-29 00:29:17,38.4167,-6.4167,46.4,89,61,12.57
103,103,Abu Samrah,SY,2021-11-29 00:29:17,35.3029,37.1841,58.75,67,7,3.76
104,104,Lagoa,PT,2021-11-29 00:29:18,39.05,-27.9833,60.21,56,40,2.77
105,105,Makakilo City,US,2021-11-29 00:29:18,21.3469,-158.0858,82.72,53,75,11.5
106,106,Negombo,LK,2021-11-29 00:29:19,7.2083,79.8358,75.25,100,75,2.3
107,107,Taebla,EE,2021-11-29 00:29:19,58.9547,23.7419,26.96,89,85,7.29
108,108,Jaffna,LK,2021-11-29 00:29:19,9.6685,80.0074,78.08,87,100,9.75
109,109,Hofn,IS,2021-11-29 00:29:20,64.2539,-15.2082,34.14,91,100,10.2
110,110,Samarai,PG,2021-11-29 00:29:20,-10.6167,150.6667,83.16,79,85,11.45
111,111,Nikolskoye,RU,2021-11-29 00:29:20,59.7035,30.7861,21.09,91,94,6.02
112,112,Bantogon,PH,2021-11-29 00:29:21,6.5333,124.0333,81.07,75,99,0.94
113,113,Khatanga,RU,2021-11-29 00:29:21,71.9667,102.5,-7.28,98,100,8.77
114,114,Hobart,AU,2021-11-29 00:29:21,-42.8794,147.3294,64.26,63,20,10.36
115,115,Zhigansk,RU,2021-11-29 00:29:22,66.7697,123.3711,-8.64,97,100,7.36
116,116,Asau,RO,2021-11-29 00:29:22,46.4333,26.4,40.12,75,100,4.94
117,117,Troitsko-Pechorsk,RU,2021-11-29 00:29:22,62.7084,56.1964,27.73,97,100,8.48
118,118,Taoudenni,ML,2021-11-29 00:29:23,22.6783,-3.9836,65.5,26,1,9.75
119,119,Razole,IN,2021-11-29 00:29:23,16.4833,81.8333,72.43,91,100,4.81
120,120,Tome,CL,2021-11-29 00:29:23,-36.6167,-72.95,56.01,59,1,9.31
121,121,Aswan,EG,2021-11-29 00:29:24,24.0934,32.907,74.84,33,50,8.93
