City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
461,Dondo,MZ,81.01,clear sky,-19.6094,34.7431,Arco Iris
463,Tarakan,ID,79.41,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
469,Emerald,AU,75.34,clear sky,-23.5333,148.1667,The Irish Village
475,Natal,BR,88.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
476,Kishi,NG,83.25,overcast clouds,9.0833,3.85,New NCCF KISI
480,Zachary,US,77.74,clear sky,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
486,Dickinson,US,79.03,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
487,Kupang,ID,80.47,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
492,Sao Geraldo Do Araguaia,BR,81.09,moderate rain,-6.4006,-48.555,Hotel Por do Sol
497,Kendari,ID,76.06,overcast clouds,-3.945,122.4989,Hotel Wixel
502,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
503,Sinnamary,GF,76.78,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
505,Chimore,BO,86.27,overcast clouds,-16.9833,-65.1333,Bichito
510,Nicoya,CR,87.35,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
511,Tabou,CI,81.43,scattered clouds,4.423,-7.3528,hotêl doufoulougou
514,Matara,LK,76.73,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
515,Sarangani,PH,82.33,broken clouds,5.4033,125.4636,Ballistic Islet
516,Marang,MY,75.11,overcast clouds,5.2056,103.2059,DBarakah Homestay
518,Sola,VU,79.2,overcast clouds,-13.8833,167.55,Leumerus Bungalows
519,Nhulunbuy,AU,83.01,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
520,Kapoeta,SS,86.77,broken clouds,4.7717,33.5903,Eastgate Hotel
526,Aquiraz,BR,87.89,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
530,Celestun,MX,81.34,scattered clouds,20.8667,-90.4,Posada Lilia
537,Sao Gabriel Da Cachoeira,BR,80.4,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
542,Porto Novo,BJ,85.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
549,Biak,ID,76.8,overcast clouds,-0.9131,122.8766,Penginapan Kim
550,Tagusao,PH,78.03,overcast clouds,9.1924,117.8141,Toledo
556,Gizo,SB,82.49,overcast clouds,-8.103,156.8419,Imagination Island
559,Hermosillo,MX,77.85,broken clouds,29.0667,-110.9667,ibis Hermosillo
567,Prado,BR,79.74,light rain,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
568,Tucurui,BR,82.26,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
572,Carutapera,BR,86.14,overcast clouds,-1.195,-46.02,Lidera
573,Camopi,GF,80.33,broken clouds,3.1655,-52.3158,La pousada
578,Mitsamiouli,KM,84.49,light rain,-11.3847,43.2844,Foyer ADM
579,Mogadishu,SO,80.53,clear sky,2.0371,45.3438,Hotel Juba
587,Guapiacu,BR,89.89,broken clouds,-20.795,-49.2203,Chacara Rosa De Saron
588,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
589,San Buenaventura,MX,82.47,scattered clouds,27.0833,-101.5333,Hotel Gran Plaza
593,Salinopolis,BR,84.18,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
595,Bubaque,GW,81.48,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
601,Lakatoro,VU,78.75,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
602,Conceicao Do Araguaia,BR,80.26,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
609,Ende,ID,78.89,moderate rain,-8.8432,121.6623,Dwi Putra Hotel - Ende
610,Mananjary,MG,76.62,clear sky,-21.2167,48.3333,Vahiny Lodge
611,Chake Chake,TZ,78.96,scattered clouds,-5.2459,39.7666,Hotel Archipelago
615,Labuhan,ID,77.23,very heavy rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
